Word,Label
Difficulty,O
with,O
reading,O
glasses.,O
Eyes,O
more,O
light,O
sensitive.,O
Colors,O
brighter.,O
No,O
eye,O
"eye,",O
no,O
new,O
floaters.,O
Pt,O
would,O
like,O
glasses,O
for,O
reading,O
only,O
but,O
to,O
wear,O
full,O
time.,O
Current,B-DRUG USE
eye,I-DRUG USE
meds:,I-DRUG USE
Lumigan,B-DRUG
Timolol,B-DRUG
stopped,B-DRUG STOP
x,O
3,O
days,O
ago,O
for,O
todays,O
appt,O
HPI:,O
*******,O
*,O
*****,O
is,O
a,O
81,O
y.o.,O
male,O
6,O
months,O
,O
,O
Patient,O
himself,O
doesn't,O
feel,O
like,O
he's,O
had,O
changes,O
to,O
vision.,O
wife,O
says,O
at,O
dinner,O
the,O
past,O
few,O
nights,O
has,O
been,O
spilling,O
water,O
,O
,O
says,O
that,O
she,O
thinks,O
he's,O
missing,O
things,O
due,O
to,O
his,O
vision.,O
,O
,O
Also,O
having,O
troubles,O
with,O
depth,O
"perception,",O
unsure,O
of,O
where,O
they,O
are,O
,O
,O
she,O
helps,O
him,O
with,O
them.,B-ADHERENCE
Patient,I-ADHERENCE
admits,I-ADHERENCE
to,I-ADHERENCE
forgetting,I-ADHERENCE
his,I-ADHERENCE
drops,I-ADHERENCE
frequently.,I-ADHERENCE
Uses,I-DRUG
AT's,I-DRUG
first,O
thing,O
when,O
wakes,O
"up,",O
and,O
then,O
forgets,O
to,B-DRUG
put,I-DRUG
in,I-DRUG
the,I-DRUG
Dorzolamide.,I-DRUG
Says,O
is,O
USUALLY,O
remember,O
BOTH,O
drops,O
at,O
night.,O
Wife,O
was,O
unaware,O
that,O
he,O
wasn't,O
getting,O
his,O
drops,O
like,O
he,O
should,O
,O
,O
would,O
like,O
the,O
instructions,O
written,O
out,O
and,O
she,O
will,O
make,O
sure,O
he's,O
getting,O
them.,O
During,O
IOP,O
"check,",O
didn't,O
feel,O
like,O
the,O
blue,O
light,O
was,O
as,O
bright,O
on,O
the,O
left,O
eye.,O
Eye,B-DRUG USE
medications:,I-DRUG USE
Dorzolamide,B-DRUG
2x/day,B-FREQUENCY
OD,B-ROUTE
,O
,O
?,O
Unsure,O
if,O
took,O
last,O
night.,O
Latanoprost,B-DRUG
qhs,B-FREQUENCY
OD,B-ROUTE
,O
,O
5:00PM,O
REASON,O
FOR,O
VISIT:,O
Follow,O
up,O
visit,O
Buphthalmos,O
associated,O
with,O
ocular,O
anomaly,O
INTERVAL,O
HISTORY:,O
********,O
******,O
*******,O
is,O
a,O
13,O
m.o.,O
male,O
from,O
***********,O
accompanied,O
by,O
English,O
speaking,O
mother.,O
Doing,O
"well,",O
no,O
changes,O
to,O
report.,O
Being,O
followed,O
by,O
**.,O
Mom,O
sees,O
Right,O
eye,O
*****,O
to,O
bright,O
light,O
when,O
outside.,B-DRUG USE
Gives,I-DRUG USE
1,B-DRUG
azopt,I-DRUG
drop,O
to,B-ROUTE
LE,B-FREQUENCY
twice,I-FREQUENCY
daily.,I-FREQUENCY
Last,O
dilated,O
exam:,O
No,O
Value,O
exists,O
for,O
the,O
***:,O
EPIC#******,O
Meds,O
Reviewed:,O
Yes,O
Allergies,O
Reviewed:,O
Yes,O
Problem,O
List,O
Reviewed:,O
Yes,O
Chief,O
Complaint:,O
Post,O
Op,O
HPI:,O
****,O
TRAB/CEIOL,O
OD,O
**/**,O
*/**,O
.,O
Here,O
with,O
daughter.,O
Good,B-ADHERENCE
drop,I-ADHERENCE
compliance.,I-ADHERENCE
Vision,O
stable.,O
Denies,O
eye,O
pain.,O
Eye,B-DRUG USE
meds:,I-DRUG USE
Dorzolamide/Timolol,B-DRUG
BID,B-FREQUENCY
OS,B-ROUTE
,O
,O
10am,O
Prednisolone,B-DRUG
6x/daily,B-FREQUENCY
OD,B-ROUTE
,O
,O
2pm,O
No,O
occupation,O
listed.,O
Chief,O
Complaint:,O
Follow,O
up,O
visit,O
HPI:,O
4,O
month,O
f/u,O
Vision,O
stable.,O
Denies,O
eye,O
pain.,O
Good,B-ADHERENCE
drop,I-ADHERENCE
compliance.,I-ADHERENCE
Eye,B-DRUG USE
meds:,I-DRUG USE
Timolol,B-DRUG
0.5%,B-STRENGTH
qam,B-FREQUENCY
OU,B-ROUTE
,O
,O
7:20,O
am,O
Latanoprost,B-DRUG
qhs,B-FREQUENCY
OU,B-ROUTE
,O
,O
8:50,O
pm,O
Rhopressa,B-DRUG
hs,B-FREQUENCY
OU,B-ROUTE
,O
9,O
pm,O
No,O
occupation,O
listed.,O
HPI:,O
4,O
week,O
f/u,O
C/O,O
of,O
cosopt,B-DRUG
causing,O
her,O
eye,B-***
to,I-***
weep,I-***
after,O
putting,O
"in,",O
"redness,",B-***
&,I-***
blurring,I-***
that,O
lasts,O
only,O
couple,O
minutes,O
OS.,O
No,O
eye,O
pain/discomfort.,O
Eye,B-DRUG USE
Meds:,I-DRUG USE
Prednisolone,B-DRUG
BID,B-FREQUENCY
OD,B-ROUTE
,O
,O
6:45am,O
Brimonidine,B-DRUG
BID,B-FREQUENCY
OS,B-ROUTE
,O
,O
6:45am,O
Cosopt,B-DRUG
BID,B-FREQUENCY
OS,B-ROUTE
,O
,O
7:10am,O
Latanoprost,B-DRUG
QHS,B-FREQUENCY
OS,B-ROUTE
,O
,O
10pm,O
No,O
occupation,O
listed.,O
*****,O
***,O
*********,O
Progress,O
Note,O
**/*/****,O
CC:,O
No,O
chief,O
complaint,O
on,O
file.,O
HPI:,O
*******,O
*,O
*'****,O
is,O
a,O
**,O
y.o.,O
female,O
Pt,O
returns,O
for,O
IOL,O
******,O
"****,",O
visual,O
"field,",O
then,O
review,O
and,O
pressure,O
check.,O
Current,B-DRUG USE
Ocular,I-DRUG USE
Meds:,I-DRUG USE
Latanoprost,B-DRUG
Q,B-FREQUENCY
HS,I-FREQUENCY
OU,B-ROUTE
Artificial,B-DRUG
Tears/prn,B-FREQUENCY
OU,B-ROUTE
"""I",O
use,O
"sometimes""",O
Not,B-DRUG STOP
using,I-DRUG STOP
the,O
Gel,B-DRUG
****,I-DRUG
at,O
all.,O
Impression/Diagnosis:,O
68,O
y.o.,O
male,O
with,O
Ophthalmologic,O
problems:,O
1.,O
Primary,O
open,O
angle,O
"glaucoma,",O
both,O
"eyes,",O
severe,O
stage.,O
Pressure,O
uncontrolled,O
in,O
left,O
"eye,",O
without,O
"medication,",O
with,O
borderline,O
control,O
in,O
the,O
right.,O
Nonadherence,O
to,B-ADHERENCE
therapeutic,I-ADHERENCE
recommendations.,I-ADHERENCE
His,I-ADHERENCE
reduced,O
vision,O
appears,O
to,O
be,O
due,O
to,O
glaucoma.,O
I,O
emphasized,O
the,O
importance,O
of,O
ongoing,O
follow,O
up,O
2.,O
No,O
current,O
signs,O
of,O
diabetic,O
"retinopathy,",O
both,O
eyes,O
Plan/Recommendation:,O
1.,O
Restart,B-DRUG USE
latanoprost,B-DRUG
nightly,B-FREQUENCY
OU,B-ROUTE
2.,O
Add,B-DRUG USE
brimonidine,B-DRUG
twice,B-FREQUENCY
daily,I-FREQUENCY
in,O
left,B-ROUTE
eye,I-ROUTE
3.,O
Return,O
for,O
pressure,O
check,O
and,O
possible,O
SLT,O
in,O
left,O
eye,O
4.,O
Consider,O
referral,O
for,O
"trabeculectomy,",O
left,O
eye,O
Return,O
for,O
SLT,O
"OS,",O
next,O
available.,O
Assessment,O
&,O
Plan:,O
73,O
y.o.,O
male,O
Primary,O
open,O
angle,O
glaucoma,O
of,O
left,O
"eye,",O
severe,O
stage,O
#,O
primary,O
open,O
angle,O
glaucoma,O
"OS>OD,",O
with,O
pathologic,O
myopia,O
,O
,O
Worsening,O
HVF,O
OD,O
with,O
IOP,O
significantly,O
higher,B-DRUG STOP
did,I-DRUG STOP
not,I-DRUG STOP
use,I-DRUG STOP
latanoprost,I-DRUG
last,O
night,O
,O
,O
History,B-ADHERENCE
inconsistent,I-ADHERENCE
drop,I-ADHERENCE
adherence,I-ADHERENCE
,O
,O
high,O
risk,O
surgical,O
patients,O
with,O
high,O
myopia,O
and,O
"staphyloma,",O
monocular.,O
,O
,O
discussed,O
SLT,O
laser,O
vs,O
adding,O
drops,O
benefits/risks;,O
pt,O
would,O
like,O
to,O
proceed,O
with,O
laser,O
,O
,B-ADHERENCE
difficult,I-ADHERENCE
compliance,I-ADHERENCE
with,O
"qhs,",O
can,O
use,O
both,O
in,O
the,O
am,O
,O
,B-DRUG USE
Continue,B-DRUG
latanoprost,I-DRUG
&,B-DRUG
Timolol,I-DRUG
in,O
the,B-FREQUENCY
qam,B-ROUTE
OU.,I-ROUTE
,O
,O
Return,O
to,O
SLT,O
OD,O
then,O
2,O
month,O
f/u,O
(could,O
consider,O
SLT,O
OS,O
if,O
IOP,O
not,O
improving,O
with,B-DRUG
latanoprost,I-DRUG
or,B-ADHERENCE
compliance,I-ADHERENCE
still,I-ADHERENCE
poor),I-ADHERENCE
Chief,O
Complaint:,O
Follow,O
up,O
visit,O
HPI,O
(Edited,O
by,O
physician):4,O
month,O
+,O
VF,O
Vision,O
is,O
stable,O
OU.,O
Denies,O
any,O
eye,O
pain.,O
States,O
that,O
he,O
forgets,O
to,O
put,O
in,O
latanoprost,B-DRUG
because,O
he,O
falls,O
asleep,O
before,O
gets,O
the,O
chance.,O
Eye,B-DRUG USE
Meds:,I-DRUG USE
Timolol,B-DRUG
qam,B-FREQUENCY
OS,B-ROUTE
,O
,O
7am,O
Latanoprost,B-DRUG
qhs,B-FREQUENCY
OU,B-ROUTE
,O
,O
used,O
night,O
before.,O
Forgot,O
last,O
night.,O
*****,O
***,O
*********,O
Progress,O
Note,O
**/**/****,O
CC:,O
Follow,O
up,O
visit,O
HPI:,O
******,O
*,O
*******,O
is,O
a,O
83,O
y.o.,O
male,O
HVF,O
review/IOP,O
check/gonio,O
No,O
change,O
in,O
vision,O
observed.,O
Ocular,B-DRUG USE
meds:,I-DRUG USE
Latanoprost,B-DRUG
QHS,B-FREQUENCY
OU,B-ROUTE
PLAN:,O
1.,O
Continue,B-DRUG USE
Latanoprost,B-DRUG
QHS,B-FREQUENCY
OU,B-ROUTE
2.,O
***/IOP,O
in,O
4,O
months,O
IMPRESSION:,O
68,O
y.o.,O
female,O
with,O
Ophthalmologic,O
problems:,O
POAG,O
OU:,O
Dx,O
2017,O
,O
,O
***/***,O
,O
,O
pre,O
tx,O
iop,O
20,O
OU,O
(,O
although,O
up,O
to,O
27,O
**/**,O
even,O
on,B-DRUG
timolol),I-DRUG
,O
,O
open,O
to,O
SS,O
on,O
gonio,O
ou,O
*/**,O
,O
,O
IOP,O
down,O
to,O
16,O
ou,O
with,B-DRUG
"timolol,",I-DRUG
felt,O
like,B-***
hair,I-***
was,I-***
falling,I-***
out,I-***
with,B-DRUG
latanoprost,I-DRUG
so,B-DRUG STOP
"stopped,",B-***
contact,I-***
dermatitis,I-***
to,B-DRUG
brimonidine,I-DRUG
2018,O
,O
,O
disc,O
heme,O
*/**,O
noted,O
inferiorly,O
os,O
,O
,O
visual,O
field,O
*/****,O
"stable,",O
actually,O
looks,O
improved,O
,O
,O
***,O
nerves,O
stable,O
**/****,O
,O
,O
IOP,O
**/**,O
"today,",O
has,O
been,O
running,O
mid,O
to,O
upper,O
"teens,",O
fluctuates,O
,O
dilated,O
*/****,O
Cataracts,O
ou,O
,O
,O
mild,O
but,O
could,O
be,O
extracted,O
for,O
iop,O
reasons,O
PLAN:,O
,O
,B-DRUG
continue,B-FREQUENCY
cosopt,B-ROUTE
bid,I-ROUTE
ou,O
,O
,O
Return,O
in,O
4,O
months,O
dilated,O
with,O
visual,O
field,O
Call,O
for,O
decreased,O
"vision,",O
increased,O
"distortion,",O
increased,O
"pain,",O
new,O
floaters,O
or,O
flashing,O
lights.,O
Chief,O
Complaint,O
Patient,O
presents,O
with,O
Follow,O
up,O
visit,O
Here,O
for,O
6,O
months,O
follow,O
up,O
for,O
open,O
angle,O
"glaucoma,",O
congenital,O
left,O
eye,O
Hx:,O
No,O
changes,O
since,O
last,O
visit.,O
Eye,B-DRUG USE
Meds:,I-DRUG USE
PFAT,B-DRUG
3,B-ROUTE
4x,I-ROUTE
both,I-ROUTE
eyes,I-ROUTE
****,B-DRUG
2,B-ROUTE
3x,I-ROUTE
both,I-ROUTE
eyes,I-ROUTE
eye,O
Warm,O
compresses,O
as,O
needed,O
both,O
eyes,O
*****,O
***,O
*********,O
Progress,O
Note,O
**/**/****,O
CC:,O
Medical,O
Eye,O
Examination,O
HPI:,O
****,O
*****,O
*********,O
is,O
a,O
85,O
y.o.,O
female,O
Patient,O
returns,O
for,O
medical,O
eye,O
"exam/DFE,",O
follow,O
up,O
of,O
"Glaucoma,",O
Macular,O
degeneration,O
and,O
pseudophakia,O
check,O
OU.,O
Patient,O
states,O
that,O
she,O
has,O
been,O
trying,O
to,O
sew,O
but,O
unable,O
to,O
see,O
the,O
eye,O
of,O
the,O
needle.,O
"""Everything",O
in,O
vision,O
is,O
not,O
"clear"".",O
Admits,O
that,O
it,O
has,O
been,O
like,O
that,O
for,O
a,O
long,O
time,O
and,O
has,O
told,O
doctor,O
about,O
it,O
many,O
times.,O
Good,O
drop,O
compliance,O
Current,B-DRUG USE
ocular,I-DRUG USE
medications:,I-DRUG USE
Brimonidine,B-DRUG
BID,B-FREQUENCY
OU,B-ROUTE
Dorzolamide/Timolol,B-DRUG
BID,B-FREQUENCY
OU,B-ROUTE
(rarely,O
uses,O
artificial,B-DRUG
tears).,I-DRUG
PLAN:,O
1.,O
Discussed,O
option,O
of,O
upper,O
lid,O
plug,O
OD,O
vs,O
increased,O
"lubrication,",B-DRUG
pt,O
would,O
like,O
to,O
increase,O
lubrication,B-DRUG
first,O
2.,O
Cont,B-DRUG USE
glaucoma,B-DRUG
drops,I-DRUG
3.,O
Discussed,O
SLT,O
again,O
as,O
option,O
to,O
reduce,O
drop,O
"dependence,",O
pt,O
will,O
think,O
about,O
it,O
4.,O
Cont,B-DRUG USE
******,B-DRUG
Return,O
in,O
about,O
4,O
months,O
(around,O
*/**/****),O
for,O
HVF/dry,O
eye,O
check.,O
Chief,O
Complaint,O
Patient,O
presents,O
with,O
Follow,O
up,O
visit,O
Here,O
for,O
6,O
months,O
follow,O
up,O
for,O
primary,O
open,O
angle,O
glaucoma,O
and,O
ice,O
syndrome.,O
Hx:,O
Has,O
an,O
appointment,O
with,O
Dr.,O
********,O
*/**/**,O
for,O
follow,O
up.,O
Feels,O
like,O
she,O
is,O
using,O
the,O
right,O
eye,O
more,O
often.,O
Maybe,O
she,O
should,O
see,O
Dr.,O
*****,O
again??,O
Feels,O
like,O
brightness,O
is,O
more,O
bothersome,O
also,O
and,O
wears,O
her,O
sunglasses,O
more,O
often.,O
Can,O
get,O
around,O
without,O
her,O
glasses,O
but,O
if,O
she,O
is,O
in,O
*,O
*******,O
*****,O
will,O
wear,O
them,O
to,O
help,O
to.,O
Eye,B-DRUG USE
Meds:,I-DRUG USE
Latanoprost,B-DRUG
at,B-FREQUENCY
night,B-ROUTE
left,I-ROUTE
eye,I-ROUTE
Used,O
last,O
night,O
at,O
8:00pm,O
*****,O
***,O
*********,O
Progress,O
Note,O
**/*/****,O
CC:,O
Follow,O
up,O
visit,O
HPI:,O
*****,O
*,O
****,O
is,O
a,O
57,O
y.o.,O
female,O
Patient,O
returns,O
for,O
***,O
RNFL/***,O
review,O
",",O
IOP,O
Check.,O
Patient,O
is,O
thinking,O
about,O
having,O
Cataract,O
Surgery.,O
In,O
********,O
she,O
is,O
busy,O
with,O
*********,O
"*****,",O
***,O
****,O
they,O
are,O
planning,O
a,O
"vacation,",O
"""it",O
sure,O
would,O
be,O
nice,O
to,O
not,O
have,O
to,O
worry,O
about,O
*******,O
contacts,O
when,O
I,O
am,O
on,O
"vacation"".",O
She,O
was,O
hoping,O
to,O
do,O
one,O
eye,O
the,O
end,O
of,O
this,O
"month,",O
and,O
then,O
the,O
other,O
eye,O
the,O
first,O
week,O
of,O
********.,O
(Last,O
dilated,O
"exam,",O
the,O
end,O
of,O
***).,O
Current,B-DRUG USE
Ocular,I-DRUG USE
Medications:,I-DRUG USE
Latanoprost,B-DRUG
Q,B-FREQUENCY
HS,I-FREQUENCY
OU,B-ROUTE
Has,O
not,B-DRUG STOP
been,I-DRUG STOP
using,I-DRUG STOP
lubrication,B-DRUG
eyedrops,O
"(""I",B-ADHERENCE
keep,I-ADHERENCE
"forgetting"").",I-ADHERENCE
Natures,O
Eye,O
vitamins,O
"(""Same",O
ingredients,O
as,O
*****,B-DRUG
"2"").",I-DRUG
*****,O
***,O
*********,O
Progress,O
Note,O
*/**/****,O
CC:,O
IOP,O
Check,O
,O
,O
Intraocular,O
Pressure,O
Check,O
Patient,O
returns,O
for,O
IOP,O
check.,O
She,O
states,O
every,O
day,O
there,O
is,O
a,O
point,O
where,O
she,O
has,O
to,O
stop,O
whatever,O
she,O
is,O
doing,O
and,O
close,O
eyes,O
for,O
awhile,O
as,O
they,O
become,O
too,O
blurry,O
to,O
see.,O
States,O
it,O
is,O
usually,O
when,O
she,O
has,O
"""done",O
too,O
"much""",O
and,O
needs,O
to,O
rest,O
them.,O
Uses,O
AT's,B-DRUG USE
at,B-DRUG
least,O
BID,O
sometimes,B-FREQUENCY
more.,O
HPI:,O
********,O
*,O
******,O
is,O
a,O
81,O
y.o.,O
female,O
IOP,O
check,O
to,O
monitor,O
aphakic,O
glaucoma;,O
she,O
uses,B-DRUG USE
AT,B-DRUG
prn.,B-FREQUENCY
IMPRESSION:,O
81,O
y.o.,O
female,O
with,O
Ophthalmologic,O
problems:,O
No,O
need,O
to,O
lower,O
IOP,O
OS.,O
Continue,O
AT,B-DRUG USE
QID,B-DRUG
prn,B-FREQUENCY
when,B-FREQUENCY
her,O
vision,O
is,O
blurred.,O
PLAN:,O
Return,O
in,O
about,O
6,O
months,O
(around,O
*/**/****),O
for,O
TC.,O
Call,O
for,O
decreased,O
"vision,",O
increased,O
"distortion,",O
increased,O
"pain,",O
new,O
floaters,O
or,O
flashing,O
lights.,O
Glaucoma,O
Clinic,O
Note:,O
**/**/****,O
Glaucoma,O
Diagnosis:,O
Referred,O
by:,O
*****,O
*,O
*****,O
****,O
**,O
HPI:,O
*******,O
*****,O
*****,O
is,O
a,O
81,O
y.o.,O
female,O
accompanied,O
******,O
her,O
daughter,O
/caregiver,O
and,O
***,O
interpreter,O
,O
,O
*****.,O
6,O
months,O
with,O
GVF,O
OU,O
and,O
DFE,O
OU,O
No,O
noticeable,O
changes,O
to,O
vision.,O
Finds,O
that,O
if,O
she,O
needs,O
more,O
light,O
when,O
reading,O
fine,O
print.,O
Reports,O
good,O
compliance,O
with,B-ADHERENCE
drops.,I-ADHERENCE
No,I-ADHERENCE
eye,I-ADHERENCE
pain.,O
Interpreter,O
left,O
the,O
visit,O
because,O
she,O
felt,O
the,O
patients,O
daughter,O
was,O
being,O
extremely,O
****,O
to,O
her.,O
"******,",O
patients,O
daughter,O
felt,O
that,O
the,O
interpreter,O
wasn't,O
doing,O
a,O
good,O
job,O
and,O
was,O
not,O
interpreting,O
when,O
she,O
should.,O
Techs,O
observation,O
was,O
that,O
the,O
daughter,O
was,O
************,O
to,O
push,O
the,O
interpreter,O
to,O
speak,O
before,O
I,O
was,O
finished,O
talking.,O
Usually,O
interp,O
*****,O
for,O
tech,O
to,O
finish,O
speaking,O
then,O
tech,O
gives,O
time,O
for,O
interpretation,O
prior,O
to,O
moving,O
forward,O
with,O
exam.,O
****,O
also,O
felt,O
that,O
the,O
daughter,O
was,O
being,O
pushy.,O
Eye,B-DRUG USE
medications:,I-DRUG USE
Latanoprost,B-DRUG
hs,B-FREQUENCY
OU,B-ROUTE
,O
,O
11:00PM,O
Dorzolamide,B-DRUG
BID,B-FREQUENCY
OU,B-ROUTE
,O
,O
10:00AM,O
Alphagan,B-DRUG
BID,B-FREQUENCY
OU,B-ROUTE
,O
,O
10:00AM,O
HPI:,O
*****,O
****,O
*****,O
"(********),",O
64,O
y.o.,O
year,O
old,O
female,O
from,O
********,O
:,O
Patient,O
presents,O
with:,O
Medical,O
Eye,O
Examination,O
The,O
patient,O
states,O
vision,O
stable.,O
No,O
pain,O
or,O
discomfort.,O
Timolol,B-DRUG
BID,B-FREQUENCY
OU,B-ROUTE
took,O
last,O
9am,O
this,O
morning,O
MD,O
history:,O
She,O
states,O
vision,O
has,O
been,O
good.,O
Using,B-DRUG USE
Timolol,B-DRUG
OU.,B-ROUTE
Patient,O
states,O
she,O
is,O
using,B-DRUG USE
Timolol,B-DRUG
in,O
aqua,O
colored,O
cap.,O
Has,O
not,O
noticed,O
any,O
new,O
floaters,O
in,O
right,O
eye.,O
Chief,O
Complaint:,O
No,O
chief,O
complaint,O
on,O
file.,O
HPI,O
(Edited,O
by,O
physician):4,O
"month,",O
here,O
with,O
granddaughter,O
No,O
eye,O
pain.,O
Vision,O
appears,O
unchanged.,O
Eye,B-DRUG USE
Meds:,I-DRUG USE
Latanoprost,B-DRUG
QHS,B-FREQUENCY
OU,B-ROUTE
,O
,O
8:05pm,O
Dorzolamide,B-DRUG
BID,B-FREQUENCY
OU,B-ROUTE
,O
,O
7am,O
*****,O
***,O
*********,O
Progress,O
Note,O
*/**/****,O
CC:,O
Follow,O
up,O
visit,O
Visual,O
field,O
testing,O
Pt,O
here,O
for,O
dilated,O
exam,O
with,O
vf,O
Doing,O
cont,B-DRUG USE
latanoprost,B-DRUG
qhs,B-FREQUENCY
ou,B-ROUTE
No,O
complaints,O
at,O
this,O
time,O
HPI:,O
****,O
******,O
is,O
a,O
86,O
y.o.,O
male,O
No,O
change,O
in,O
vision.,O
Taking,O
drops,O
at,O
bedtime,O
OU,O
PLAN:,O
,O
,B-DRUG USE
continue,B-DRUG
latanoprost,B-FREQUENCY
qhs,B-ROUTE
OU,I-ROUTE
,O
,O
Return,O
in,O
6,O
months,O
with,O
visual,O
field,O
Call,O
for,O
decreased,O
"vision,",O
increased,O
"distortion,",O
increased,O
"pain,",O
new,O
floaters,O
or,O
flashing,O
lights.,O
*****,O
***,O
*********,O
Progress,O
Note,O
**/**/****,O
CC:,O
IOP,O
Check,O
,O
,O
Intraocular,O
Pressure,O
Check,O
IOP,O
check,O
to,O
monitor,O
glaucoma.,O
LATANOPROST,O
OS,B-DRUG
QHS.,B-ROUTE
HPI:,O
******,O
*,O
*****,O
is,O
a,O
77,O
y.o.,O
female,O
IOP,O
check,O
to,O
monitor,O
glaucoma;,O
no,B-ADHERENCE
problems,I-ADHERENCE
with,I-ADHERENCE
drops,I-ADHERENCE
or,O
vision.,O
IMPRESSION:,O
77,O
y.o.,O
female,O
with,O
Ophthalmologic,O
problems:,O
Glaucoma,O
is,O
stable,O
on,O
present,O
therapy;,O
continue,B-DRUG USE
present,O
meds.,O
PLAN:,O
Return,O
in,O
about,O
6,O
months,O
(around,O
*/**/****),O
for,O
***,O
G.,O
Call,O
for,O
decreased,O
"vision,",O
increased,O
"distortion,",O
increased,O
"pain,",O
new,O
floaters,O
or,O
flashing,O
lights.,O
Subjective,O
Referred,O
by,O
No,O
Referring,O
Provider,O
Per,O
Patient,O
*****,O
*******,O
is,O
a,O
52,O
y.o.,O
male,O
2,O
month,O
+,O
***,O
Vision,O
is,O
stable.,O
No,O
drops.,O
Denies,O
eye,O
pain.,O
Eye,B-DRUG USE
meds:,I-DRUG USE
none,O
"*,",O
****,O
"******,",O
"performed,",O
reviewed,O
or,O
revised,O
the,O
above,O
"history,",O
"medications,",O
"allergies,",O
as,O
well,O
as,O
performed,O
elements,O
noted,O
in,O
the,O
Base,O
Ophthalmology,O
Exam:,O
visual,O
acuity,O
and,O
IOP.,O
Subjective,O
*****,O
***,O
*********,O
Progress,O
Note,O
**/*/****,O
CC:,O
Medical,O
Eye,O
Examination,O
HPI:,O
*******,O
*,O
*****,O
is,O
a,O
**,O
y.o.,O
female,O
***,O
pt,O
here,O
for,O
repeat,O
VF,O
and,O
DFE,O
Vision,O
appears,O
to,O
be,O
getting,O
worse,O
States,O
at,O
one,O
point,O
her,O
vision,O
seem,O
to,O
be,O
off,O
like,O
eyes,O
were,O
not,O
working,O
well,O
"together,,",O
states,O
some,O
double,O
"vision,episode",O
lasted,O
about,O
5,O
mins,O
Has,O
been,O
using,B-DRUG USE
drops,I-DRUG USE
Dorzolamide/Timolol,B-DRUG
"BID,",B-FREQUENCY
OU,B-ROUTE
Latanoprost,B-DRUG
"QHS,",B-FREQUENCY
OU,B-ROUTE
Would,O
like,O
to,O
know,O
if,O
drops,O
are,O
helping,O
form,O
glaucoma,O
getting,O
worse,O
HPI:,O
****,O
****,O
***********,O
"(********),",O
66,O
y.o.,O
year,O
old,O
female,O
from,O
********,O
:,O
Patient,O
presents,O
with:,O
Follow,O
up,O
visit,O
Medical,O
Eye,O
